zip_code,percent_change,equity_risk,2008_avg_salespr,2009_avg_salespr,2010_avg_salespr,2011_avg_salespr,2012_avg_salespr,2013_avg_salespr,2014_avg_salespr,2015_avg_salespr,2016_avg_salespr,2017_avg_salespr,2018_avg_salespr,2019_avg_salespr
30314,-0.546906049818126,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,222646.67666666667,82108.33333333333,116533.33333333333
33168,-0.0369896616216389,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,83411.72499999999,82675.0,96350.0,117191.66666666667,152375.0,189858.33333333334,215666.66666666666,241841.66666666666
49058,-0.429175900467589,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,193915.63583333348,98000.0,105483.33333333333,115083.33333333333,123616.66666666667,135950.0,142600.0
33983,-0.0532150776053215,False,150430.0,112841.66666666667,107941.66666666667,103075.0,106925.0,122683.33333333333,134100.0,157733.33333333334,168158.33333333334,161000.0,191208.33333333334,200791.66666666666
8015,-0.407635368409762,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,224586.13583333357,112158.33333333333,118941.66666666667,147783.33333333334
90245,3.5079134158259,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,592254.4541666666,830850.0,984200.0,952516.6666666666,1183750.0,1154258.3333333333
95620,0.382485705687632,True,306840.0,261050.0,237891.66666666666,217225.0,219825.0,279900.0,328200.0,338241.6666666667,370891.6666666667,398791.6666666667,433175.0,441650.0
19090,-0.0351327192028607,False,251217.92599999998,226411.61916666682,213651.88833333337,207858.33333333334,210508.33333333334,205850.0,211300.0,218608.33333333334,219758.33333333334,238991.66666666666,255416.66666666666,266375.0
27021,-0.416177303536142,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,220541.47166666688,113050.0,115533.33333333333,121141.66666666667,129858.33333333333,137025.0,154225.0
55362,0.348493150684932,True,182580.0,152758.33333333334,153608.33333333334,139841.66666666666,150450.0,148441.66666666666,167933.33333333334,180916.66666666666,196291.66666666666,211966.66666666666,223200.0,238900.0
