,school_district,Zip_code,Rank,State
28742,NOBLESVILLE SCHOOLS,46062,463.0,Indiana
28753,ZIONSVILLE COMMUNITY SCHOOLS,46069,152.0,Indiana
28761,CARMEL CLAY SCHOOLS,46074,47.0,Indiana
28763,ZIONSVILLE COMMUNITY SCHOOLS,46075,152.0,Indiana
28769,CARMEL CLAY SCHOOLS,46077,47.0,Indiana
28770,ZIONSVILLE COMMUNITY SCHOOLS,46077,152.0,Indiana
28788,ZIONSVILLE COMMUNITY SCHOOLS,46112,152.0,Indiana
28994,CARMEL CLAY SCHOOLS,46240,47.0,Indiana
29000,HAMILTON SOUTHEASTERN SCHOOLS,46250,207.0,Indiana
29006,HAMILTON SOUTHEASTERN SCHOOLS,46256,207.0,Indiana
29010,CARMEL CLAY SCHOOLS,46260,47.0,Indiana
29013,ZIONSVILLE COMMUNITY SCHOOLS,46268,152.0,Indiana
29018,CARMEL CLAY SCHOOLS,46280,47.0,Indiana
29019,CARMEL CLAY SCHOOLS,46290,47.0,Indiana
29299,HAMILTON COMMUNITY SCHOOLS,46703,241.0,Wisconsin
29323,HAMILTON COMMUNITY SCHOOLS,46721,241.0,Wisconsin
29349,HAMILTON COMMUNITY SCHOOLS,46742,241.0,Wisconsin
29398,HAMILTON COMMUNITY SCHOOLS,46779,241.0,Wisconsin
29422,HAMILTON COMMUNITY SCHOOLS,46793,241.0,Wisconsin
30553,MADISON PUBLIC SCHOOLS,48071,60.0,New Jersey
30560,TROY SCHOOL DISTRICT,48073,217.0,Michigan
30578,TROY SCHOOL DISTRICT,48083,217.0,Michigan
30582,TROY SCHOOL DISTRICT,48084,217.0,Michigan
30584,TROY SCHOOL DISTRICT,48085,217.0,Michigan
30600,ROCHESTER COMMUNITY SCHOOL DISTRICT,48094,153.0,Michigan
30603,ROCHESTER COMMUNITY SCHOOL DISTRICT,48095,153.0,Michigan
30616,BLOOMFIELD HILLS SCHOOL DISTRICT,48098,282.0,Michigan
30617,TROY SCHOOL DISTRICT,48098,217.0,Michigan
30627,SALINE AREA SCHOOLS,48103,389.0,Michigan
30631,SOUTH LYON COMMUNITY SCHOOLS,48105,351.0,Michigan
30635,SALINE AREA SCHOOLS,48108,389.0,Michigan
30649,SOUTH LYON COMMUNITY SCHOOLS,48116,351.0,Michigan
30655,MONROE PUBLIC SCHOOLS,48117,376.0,New Jersey
30663,WESTWOOD COMMUNITY SCHOOLS,48124,9.0,Massachusetts
30665,WESTWOOD COMMUNITY SCHOOLS,48125,9.0,Massachusetts
30683,BEDFORD PUBLIC SCHOOLS,48133,20.0,New Hampshire
30684,BEDFORD PUBLIC SCHOOLS,48133,37.0,Massachusetts
30687,MONROE PUBLIC SCHOOLS,48133,376.0,New Jersey
30702,MONROE PUBLIC SCHOOLS,48140,376.0,New Jersey
30705,WESTWOOD COMMUNITY SCHOOLS,48141,9.0,Massachusetts
30709,BEDFORD PUBLIC SCHOOLS,48144,20.0,New Hampshire
30710,BEDFORD PUBLIC SCHOOLS,48144,37.0,Massachusetts
30714,MONROE PUBLIC SCHOOLS,48145,376.0,New Jersey
30728,SALINE AREA SCHOOLS,48158,389.0,Michigan
30732,MONROE PUBLIC SCHOOLS,48159,376.0,New Jersey
30736,SALINE AREA SCHOOLS,48160,389.0,Michigan
30739,MONROE PUBLIC SCHOOLS,48161,376.0,New Jersey
30743,MONROE PUBLIC SCHOOLS,48162,376.0,New Jersey
30747,SOUTH LYON COMMUNITY SCHOOLS,48165,351.0,Michigan
30751,NORTHVILLE PUBLIC SCHOOLS,48167,315.0,Michigan
30752,NOVI COMMUNITY SCHOOL DISTRICT,48167,134.0,Michigan
30753,SOUTH LYON COMMUNITY SCHOOLS,48167,351.0,Michigan
30754,NORTHVILLE PUBLIC SCHOOLS,48168,315.0,Michigan
30756,SOUTH LYON COMMUNITY SCHOOLS,48168,351.0,Michigan
30764,NORTHVILLE PUBLIC SCHOOLS,48170,315.0,Michigan
30766,SOUTH LYON COMMUNITY SCHOOLS,48170,351.0,Michigan
30779,SALINE AREA SCHOOLS,48176,389.0,Michigan
30781,BEDFORD PUBLIC SCHOOLS,48177,20.0,New Hampshire
30782,BEDFORD PUBLIC SCHOOLS,48177,37.0,Massachusetts
30784,SOUTH LYON COMMUNITY SCHOOLS,48178,351.0,Michigan
30789,BEDFORD PUBLIC SCHOOLS,48182,20.0,New Hampshire
30790,BEDFORD PUBLIC SCHOOLS,48182,37.0,Massachusetts
30815,SOUTH LYON COMMUNITY SCHOOLS,48189,351.0,Michigan
30899,BLOOMFIELD HILLS SCHOOL DISTRICT,48301,282.0,Michigan
30901,BLOOMFIELD HILLS SCHOOL DISTRICT,48302,282.0,Michigan
30905,BLOOMFIELD HILLS SCHOOL DISTRICT,48304,282.0,Michigan
30907,ROCHESTER COMMUNITY SCHOOL DISTRICT,48306,153.0,Michigan
30909,ROCHESTER COMMUNITY SCHOOL DISTRICT,48307,153.0,Michigan
30912,ROCHESTER COMMUNITY SCHOOL DISTRICT,48309,153.0,Michigan
30921,ROCHESTER COMMUNITY SCHOOL DISTRICT,48316,153.0,Michigan
30924,ROCHESTER COMMUNITY SCHOOL DISTRICT,48317,153.0,Michigan
30934,BLOOMFIELD HILLS SCHOOL DISTRICT,48323,282.0,Michigan
30938,BLOOMFIELD HILLS SCHOOL DISTRICT,48324,282.0,Michigan
30946,ROCHESTER COMMUNITY SCHOOL DISTRICT,48326,153.0,Michigan
30962,BLOOMFIELD HILLS SCHOOL DISTRICT,48341,282.0,Michigan
30981,ROCHESTER COMMUNITY SCHOOL DISTRICT,48360,153.0,Michigan
30984,ROCHESTER COMMUNITY SCHOOL DISTRICT,48363,153.0,Michigan
30996,NORTHVILLE PUBLIC SCHOOLS,48374,315.0,Michigan
30997,NOVI COMMUNITY SCHOOL DISTRICT,48374,134.0,Michigan
30998,SOUTH LYON COMMUNITY SCHOOLS,48374,351.0,Michigan
30999,NORTHVILLE PUBLIC SCHOOLS,48375,315.0,Michigan
31000,NOVI COMMUNITY SCHOOL DISTRICT,48375,134.0,Michigan
31001,NOVI COMMUNITY SCHOOL DISTRICT,48377,134.0,Michigan
31007,SOUTH LYON COMMUNITY SCHOOLS,48381,351.0,Michigan
31020,NOVI COMMUNITY SCHOOL DISTRICT,48393,134.0,Michigan
31021,SOUTH LYON COMMUNITY SCHOOLS,48393,351.0,Michigan
31071,LAKEVILLE COMMUNITY SCHOOLS,48420,387.0,Minnesota
31075,LAKEVILLE COMMUNITY SCHOOLS,48421,387.0,Minnesota
31084,LAKEVILLE COMMUNITY SCHOOLS,48423,387.0,Minnesota
31119,LAKEVILLE COMMUNITY SCHOOLS,48435,387.0,Minnesota
31163,LAKEVILLE COMMUNITY SCHOOLS,48446,387.0,Minnesota
31205,LAKEVILLE COMMUNITY SCHOOLS,48458,387.0,Minnesota
31223,LAKEVILLE COMMUNITY SCHOOLS,48463,387.0,Minnesota
31226,LAKEVILLE COMMUNITY SCHOOLS,48464,387.0,Minnesota
31539,LAKEVILLE COMMUNITY SCHOOLS,48746,387.0,Minnesota
31628,BELLEVUE COMMUNITY SCHOOLS,48813,189.0,Washington
31670,OKEMOS PUBLIC SCHOOLS,48823,226.0,Michigan
31768,OKEMOS PUBLIC SCHOOLS,48854,226.0,Michigan
31799,OKEMOS PUBLIC SCHOOLS,48864,226.0,Michigan
31902,OKEMOS PUBLIC SCHOOLS,48895,226.0,Michigan
31919,OKEMOS PUBLIC SCHOOLS,48910,226.0,Michigan
31959,HAMILTON COMMUNITY SCHOOLS,49010,241.0,Wisconsin
31975,BELLEVUE COMMUNITY SCHOOLS,49014,189.0,Washington
31986,BELLEVUE COMMUNITY SCHOOLS,49017,189.0,Washington
31991,BELLEVUE COMMUNITY SCHOOLS,49021,189.0,Washington
32139,BELLEVUE COMMUNITY SCHOOLS,49068,189.0,Washington
32158,BELLEVUE COMMUNITY SCHOOLS,49073,189.0,Washington
32164,BELLEVUE COMMUNITY SCHOOLS,49076,189.0,Washington
32187,READING COMMUNITY SCHOOLS,49082,184.0,Massachusetts
32239,BELLEVUE COMMUNITY SCHOOLS,49096,189.0,Washington
32339,MADISON SCHOOL DISTRICT,49221,60.0,New Jersey
32354,READING COMMUNITY SCHOOLS,49227,184.0,Massachusetts
32369,READING COMMUNITY SCHOOLS,49232,184.0,Massachusetts
32385,SALINE AREA SCHOOLS,49236,389.0,Michigan
32410,READING COMMUNITY SCHOOLS,49242,184.0,Massachusetts
32452,READING COMMUNITY SCHOOLS,49255,184.0,Massachusetts
32477,BEDFORD PUBLIC SCHOOLS,49267,20.0,New Hampshire
32478,BEDFORD PUBLIC SCHOOLS,49267,37.0,Massachusetts
32487,BEDFORD PUBLIC SCHOOLS,49270,20.0,New Hampshire
32488,BEDFORD PUBLIC SCHOOLS,49270,37.0,Massachusetts
32504,READING COMMUNITY SCHOOLS,49274,184.0,Massachusetts
32538,FOREST HILLS PUBLIC SCHOOLS,49301,483.0,Michigan
32543,FOREST HILLS PUBLIC SCHOOLS,49302,483.0,Michigan
32579,HAMILTON COMMUNITY SCHOOLS,49315,241.0,Wisconsin
32606,HAMILTON COMMUNITY SCHOOLS,49323,241.0,Wisconsin
32725,HAMILTON COMMUNITY SCHOOLS,49408,241.0,Wisconsin
32750,HAMILTON COMMUNITY SCHOOLS,49419,241.0,Wisconsin
32767,HAMILTON COMMUNITY SCHOOLS,49423,241.0,Wisconsin
32840,HAMILTON COMMUNITY SCHOOLS,49453,241.0,Wisconsin
32873,EAST GRAND RAPIDS PUBLIC SCHOOL DISTRICT,49503,227.0,Michigan
32878,FOREST HILLS PUBLIC SCHOOLS,49505,483.0,Michigan
32880,EAST GRAND RAPIDS PUBLIC SCHOOL DISTRICT,49506,227.0,Michigan
32881,FOREST HILLS PUBLIC SCHOOLS,49506,483.0,Michigan
32897,FOREST HILLS PUBLIC SCHOOLS,49512,483.0,Michigan
32904,FOREST HILLS PUBLIC SCHOOLS,49525,483.0,Michigan
32915,FOREST HILLS PUBLIC SCHOOLS,49546,483.0,Michigan
33588,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50003,487.0,Iowa
33593,WAUKEE COMMUNITY SCHOOL DISTRICT,50003,300.0,Iowa
33609,GILBERT COMMUNITY SCHOOL DISTRICT,50010,337.0,Iowa
33616,GILBERT COMMUNITY SCHOOL DISTRICT,50014,337.0,Iowa
33623,ANKENY COMMUNITY SCHOOL DISTRICT,50021,403.0,Iowa
33631,ANKENY COMMUNITY SCHOOL DISTRICT,50023,403.0,Iowa
33646,NEWTON COMMUNITY SCHOOL DISTRICT,50028,23.0,Massachusetts
33656,ANKENY COMMUNITY SCHOOL DISTRICT,50035,403.0,Iowa
33661,GILBERT COMMUNITY SCHOOL DISTRICT,50036,337.0,Iowa
33701,NEWTON COMMUNITY SCHOOL DISTRICT,50054,23.0,Massachusetts
33717,CARROLL COMMUNITY SCHOOL DISTRICT,50058,58.0,Texas
33728,WAUKEE COMMUNITY SCHOOL DISTRICT,50061,300.0,Iowa
33735,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50063,487.0,Iowa
33736,WAUKEE COMMUNITY SCHOOL DISTRICT,50063,300.0,Iowa
33765,ANKENY COMMUNITY SCHOOL DISTRICT,50073,403.0,Iowa
33790,GILBERT COMMUNITY SCHOOL DISTRICT,50105,337.0,Iowa
33793,NEWTON COMMUNITY SCHOOL DISTRICT,50106,23.0,Massachusetts
33799,JOHNSTON COMMUNITY SCHOOL DISTRICT,50109,259.0,Iowa
33803,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50111,487.0,Iowa
33804,JOHNSTON COMMUNITY SCHOOL DISTRICT,50111,259.0,Iowa
33806,WAUKEE COMMUNITY SCHOOL DISTRICT,50111,300.0,Iowa
33857,ANKENY COMMUNITY SCHOOL DISTRICT,50131,403.0,Iowa
33858,JOHNSTON COMMUNITY SCHOOL DISTRICT,50131,259.0,Iowa
33870,NEWTON COMMUNITY SCHOOL DISTRICT,50135,23.0,Massachusetts
33887,NEWTON COMMUNITY SCHOOL DISTRICT,50141,23.0,Massachusetts
33957,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50167,487.0,Iowa
33967,NEWTON COMMUNITY SCHOOL DISTRICT,50170,23.0,Massachusetts
33999,NEWTON COMMUNITY SCHOOL DISTRICT,50208,23.0,Massachusetts
34045,ANKENY COMMUNITY SCHOOL DISTRICT,50226,403.0,Iowa
34047,JOHNSTON COMMUNITY SCHOOL DISTRICT,50226,259.0,Iowa
34064,NEWTON COMMUNITY SCHOOL DISTRICT,50232,23.0,Massachusetts
34101,GILBERT COMMUNITY SCHOOL DISTRICT,50248,337.0,Iowa
34131,WAUKEE COMMUNITY SCHOOL DISTRICT,50261,300.0,Iowa
34136,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50263,487.0,Iowa
34138,WAUKEE COMMUNITY SCHOOL DISTRICT,50263,300.0,Iowa
34145,WAUKEE COMMUNITY SCHOOL DISTRICT,50266,300.0,Iowa
34167,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50276,487.0,Iowa
34177,JOHNSTON COMMUNITY SCHOOL DISTRICT,50310,259.0,Iowa
34182,ANKENY COMMUNITY SCHOOL DISTRICT,50313,403.0,Iowa
34184,JOHNSTON COMMUNITY SCHOOL DISTRICT,50313,259.0,Iowa
34199,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50322,487.0,Iowa
34201,JOHNSTON COMMUNITY SCHOOL DISTRICT,50322,259.0,Iowa
34204,DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT,50323,487.0,Iowa
34205,JOHNSTON COMMUNITY SCHOOL DISTRICT,50323,259.0,Iowa
34207,WAUKEE COMMUNITY SCHOOL DISTRICT,50323,300.0,Iowa
34211,WAUKEE COMMUNITY SCHOOL DISTRICT,50325,300.0,Iowa
34216,MASON CITY COMMUNITY SCHOOL DISTRICT,50401,64.0,Ohio
34235,MASON CITY COMMUNITY SCHOOL DISTRICT,50428,64.0,Ohio
34303,MASON CITY COMMUNITY SCHOOL DISTRICT,50458,64.0,Ohio
34325,MASON CITY COMMUNITY SCHOOL DISTRICT,50468,64.0,Ohio
34817,LENOX COMMUNITY SCHOOL DISTRICT,50801,456.0,Massachusetts
34822,BEDFORD COMMUNITY SCHOOL DISTRICT,50833,20.0,New Hampshire
34823,BEDFORD COMMUNITY SCHOOL DISTRICT,50833,37.0,Massachusetts
34826,LENOX COMMUNITY SCHOOL DISTRICT,50833,456.0,Massachusetts
34830,BEDFORD COMMUNITY SCHOOL DISTRICT,50836,20.0,New Hampshire
34831,BEDFORD COMMUNITY SCHOOL DISTRICT,50836,37.0,Massachusetts
34839,LENOX COMMUNITY SCHOOL DISTRICT,50840,456.0,Massachusetts
34840,BEDFORD COMMUNITY SCHOOL DISTRICT,50841,20.0,New Hampshire
34841,BEDFORD COMMUNITY SCHOOL DISTRICT,50841,37.0,Massachusetts
34844,LENOX COMMUNITY SCHOOL DISTRICT,50841,456.0,Massachusetts
34857,LENOX COMMUNITY SCHOOL DISTRICT,50845,456.0,Massachusetts
34863,BEDFORD COMMUNITY SCHOOL DISTRICT,50848,20.0,New Hampshire
34864,BEDFORD COMMUNITY SCHOOL DISTRICT,50848,37.0,Massachusetts
34867,LENOX COMMUNITY SCHOOL DISTRICT,50848,456.0,Massachusetts
34873,LENOX COMMUNITY SCHOOL DISTRICT,50851,456.0,Massachusetts
34879,BEDFORD COMMUNITY SCHOOL DISTRICT,50857,20.0,New Hampshire
34880,BEDFORD COMMUNITY SCHOOL DISTRICT,50857,37.0,Massachusetts
34888,LENOX COMMUNITY SCHOOL DISTRICT,50859,456.0,Massachusetts
34890,BEDFORD COMMUNITY SCHOOL DISTRICT,50860,20.0,New Hampshire
34891,BEDFORD COMMUNITY SCHOOL DISTRICT,50860,37.0,Massachusetts
34897,BEDFORD COMMUNITY SCHOOL DISTRICT,50862,20.0,New Hampshire
34898,BEDFORD COMMUNITY SCHOOL DISTRICT,50862,37.0,Massachusetts
34900,LENOX COMMUNITY SCHOOL DISTRICT,50862,456.0,Massachusetts
34903,BEDFORD COMMUNITY SCHOOL DISTRICT,50864,20.0,New Hampshire
34904,BEDFORD COMMUNITY SCHOOL DISTRICT,50864,37.0,Massachusetts
34925,WESTWOOD COMMUNITY SCHOOL DISTRICT,51004,9.0,Massachusetts
34984,WESTWOOD COMMUNITY SCHOOL DISTRICT,51026,9.0,Massachusetts
35011,WESTWOOD COMMUNITY SCHOOL DISTRICT,51034,9.0,Massachusetts
35032,WESTWOOD COMMUNITY SCHOOL DISTRICT,51044,9.0,Massachusetts
35052,WESTWOOD COMMUNITY SCHOOL DISTRICT,51052,9.0,Massachusetts
35060,WESTWOOD COMMUNITY SCHOOL DISTRICT,51054,9.0,Massachusetts
35061,WESTWOOD COMMUNITY SCHOOL DISTRICT,51055,9.0,Massachusetts
35064,WESTWOOD COMMUNITY SCHOOL DISTRICT,51056,9.0,Massachusetts
35077,WESTWOOD COMMUNITY SCHOOL DISTRICT,51063,9.0,Massachusetts
35224,CARROLL COMMUNITY SCHOOL DISTRICT,51401,58.0,Texas
35227,CARROLL COMMUNITY SCHOOL DISTRICT,51430,58.0,Texas
35235,CARROLL COMMUNITY SCHOOL DISTRICT,51436,58.0,Texas
35241,CARROLL COMMUNITY SCHOOL DISTRICT,51440,58.0,Texas
35255,CARROLL COMMUNITY SCHOOL DISTRICT,51443,58.0,Texas
35258,CARROLL COMMUNITY SCHOOL DISTRICT,51444,58.0,Texas
35272,CARROLL COMMUNITY SCHOOL DISTRICT,51449,58.0,Texas
35286,CARROLL COMMUNITY SCHOOL DISTRICT,51455,58.0,Texas
35298,CARROLL COMMUNITY SCHOOL DISTRICT,51463,58.0,Texas
35308,CARROLL COMMUNITY SCHOOL DISTRICT,51467,58.0,Texas
35518,BEDFORD COMMUNITY SCHOOL DISTRICT,51646,20.0,New Hampshire
35519,BEDFORD COMMUNITY SCHOOL DISTRICT,51646,37.0,Massachusetts
35549,BELLEVUE COMMUNITY SCHOOL DISTRICT,52031,189.0,Washington
35602,BELLEVUE COMMUNITY SCHOOL DISTRICT,52054,189.0,Washington
35633,BELLEVUE COMMUNITY SCHOOL DISTRICT,52074,189.0,Washington
35749,BENTON COMMUNITY SCHOOL DISTRICT,52203,319.0,Wisconsin
35757,BENTON COMMUNITY SCHOOL DISTRICT,52206,319.0,Wisconsin
35763,BENTON COMMUNITY SCHOOL DISTRICT,52208,319.0,Wisconsin
35766,BENTON COMMUNITY SCHOOL DISTRICT,52209,319.0,Wisconsin
35819,BENTON COMMUNITY SCHOOL DISTRICT,52224,319.0,Wisconsin
35823,BENTON COMMUNITY SCHOOL DISTRICT,52225,319.0,Wisconsin
35829,BENTON COMMUNITY SCHOOL DISTRICT,52228,319.0,Wisconsin
35832,BENTON COMMUNITY SCHOOL DISTRICT,52229,319.0,Wisconsin
35872,BENTON COMMUNITY SCHOOL DISTRICT,52249,319.0,Wisconsin
35888,BENTON COMMUNITY SCHOOL DISTRICT,52257,319.0,Wisconsin
35890,BENTON COMMUNITY SCHOOL DISTRICT,52301,319.0,Wisconsin
35927,BENTON COMMUNITY SCHOOL DISTRICT,52315,319.0,Wisconsin
35933,BENTON COMMUNITY SCHOOL DISTRICT,52318,319.0,Wisconsin
35967,BENTON COMMUNITY SCHOOL DISTRICT,52332,319.0,Wisconsin
35999,BENTON COMMUNITY SCHOOL DISTRICT,52346,319.0,Wisconsin
36004,BENTON COMMUNITY SCHOOL DISTRICT,52349,319.0,Wisconsin
36008,BENTON COMMUNITY SCHOOL DISTRICT,52351,319.0,Wisconsin
36021,BENTON COMMUNITY SCHOOL DISTRICT,52354,319.0,Wisconsin
36182,BURLINGTON COMMUNITY SCHOOL DISTRICT,52601,495.0,Massachusetts
36218,BURLINGTON COMMUNITY SCHOOL DISTRICT,52638,495.0,Massachusetts
36261,BURLINGTON COMMUNITY SCHOOL DISTRICT,52655,495.0,Massachusetts
36284,PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT,52722,326.0,Iowa
36330,PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT,52753,326.0,Iowa
36357,PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT,52767,326.0,Iowa
36393,PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT,52807,326.0,Iowa
36400,NORTHERN OZAUKEE SCHOOL DISTRICT,53004,492.0,Wisconsin
36402,ELMBROOK SCHOOL DISTRICT,53005,235.0,Wisconsin
36407,HAMILTON SCHOOL DISTRICT,53007,241.0,Wisconsin
36416,CEDARBURG SCHOOL DISTRICT,53012,453.0,Wisconsin
36417,GERMANTOWN SCHOOL DISTRICT,53012,372.0,Wisconsin
36418,GRAFTON SCHOOL DISTRICT,53012,109.0,Massachusetts
36419,GRAFTON SCHOOL DISTRICT,53012,415.0,Wisconsin
36420,MEQUON-THIENSVILLE SCHOOL DISTRICT,53012,175.0,Wisconsin
36439,GERMANTOWN SCHOOL DISTRICT,53017,372.0,Wisconsin
36440,HAMILTON SCHOOL DISTRICT,53017,241.0,Wisconsin
36448,KETTLE MORAINE SCHOOL DISTRICT,53018,352.0,Wisconsin
36458,NORTHERN OZAUKEE SCHOOL DISTRICT,53021,492.0,Wisconsin
36461,GERMANTOWN SCHOOL DISTRICT,53022,372.0,Wisconsin
36468,CEDARBURG SCHOOL DISTRICT,53024,453.0,Wisconsin
36469,GRAFTON SCHOOL DISTRICT,53024,109.0,Massachusetts
36470,GRAFTON SCHOOL DISTRICT,53024,415.0,Wisconsin
36483,HAMILTON SCHOOL DISTRICT,53029,241.0,Wisconsin
36496,GERMANTOWN SCHOOL DISTRICT,53033,372.0,Wisconsin
36511,CEDARBURG SCHOOL DISTRICT,53037,453.0,Wisconsin
36512,GERMANTOWN SCHOOL DISTRICT,53037,372.0,Wisconsin
36531,KOHLER SCHOOL DISTRICT,53044,221.0,Wisconsin
36533,ELMBROOK SCHOOL DISTRICT,53045,235.0,Wisconsin
36535,HAMILTON SCHOOL DISTRICT,53046,241.0,Wisconsin
36549,HAMILTON SCHOOL DISTRICT,53051,241.0,Wisconsin
36555,KETTLE MORAINE SCHOOL DISTRICT,53058,352.0,Wisconsin
36574,KETTLE MORAINE SCHOOL DISTRICT,53066,352.0,Wisconsin
36585,ELMBROOK SCHOOL DISTRICT,53072,235.0,Wisconsin
36586,KETTLE MORAINE SCHOOL DISTRICT,53072,352.0,Wisconsin
36587,HAMILTON SCHOOL DISTRICT,53072,241.0,Wisconsin
36600,NORTHERN OZAUKEE SCHOOL DISTRICT,53074,492.0,Wisconsin
36605,GERMANTOWN SCHOOL DISTRICT,53076,372.0,Wisconsin
36619,CEDARBURG SCHOOL DISTRICT,53080,453.0,Wisconsin
36620,NORTHERN OZAUKEE SCHOOL DISTRICT,53080,492.0,Wisconsin
36622,KOHLER SCHOOL DISTRICT,53081,221.0,Wisconsin
36630,KOHLER SCHOOL DISTRICT,53085,221.0,Wisconsin
36639,HAMILTON SCHOOL DISTRICT,53089,241.0,Wisconsin
36643,NORTHERN OZAUKEE SCHOOL DISTRICT,53090,492.0,Wisconsin
36652,MEQUON-THIENSVILLE SCHOOL DISTRICT,53092,175.0,Wisconsin
36662,CEDARBURG SCHOOL DISTRICT,53095,453.0,Wisconsin
36663,NORTHERN OZAUKEE SCHOOL DISTRICT,53095,492.0,Wisconsin
36666,MEQUON-THIENSVILLE SCHOOL DISTRICT,53097,175.0,Wisconsin
36673,MUKWONAGO SCHOOL DISTRICT,53103,493.0,Wisconsin
36711,KETTLE MORAINE SCHOOL DISTRICT,53118,352.0,Wisconsin
36712,MUKWONAGO SCHOOL DISTRICT,53118,493.0,Wisconsin
36715,KETTLE MORAINE SCHOOL DISTRICT,53119,352.0,Wisconsin
36717,MUKWONAGO SCHOOL DISTRICT,53119,493.0,Wisconsin
36721,MUKWONAGO SCHOOL DISTRICT,53120,493.0,Wisconsin
36731,ELMBROOK SCHOOL DISTRICT,53122,235.0,Wisconsin
36755,FRANKLIN PUBLIC SCHOOL DISTRICT,53132,93.0,Massachusetts
36756,FRANKLIN PUBLIC SCHOOL DISTRICT,53132,400.0,Wisconsin
36780,NEW BERLIN SCHOOL DISTRICT,53146,425.0,Wisconsin
36792,KETTLE MORAINE SCHOOL DISTRICT,53149,352.0,Wisconsin
36794,MUKWONAGO SCHOOL DISTRICT,53149,493.0,Wisconsin
36800,MUKWONAGO SCHOOL DISTRICT,53150,493.0,Wisconsin
36802,NEW BERLIN SCHOOL DISTRICT,53150,425.0,Wisconsin
36805,ELMBROOK SCHOOL DISTRICT,53151,235.0,Wisconsin
36806,NEW BERLIN SCHOOL DISTRICT,53151,425.0,Wisconsin
36808,KETTLE MORAINE SCHOOL DISTRICT,53153,352.0,Wisconsin
36809,MUKWONAGO SCHOOL DISTRICT,53153,493.0,Wisconsin
36857,KETTLE MORAINE SCHOOL DISTRICT,53183,352.0,Wisconsin
36870,ELMBROOK SCHOOL DISTRICT,53186,235.0,Wisconsin
36873,KETTLE MORAINE SCHOOL DISTRICT,53188,352.0,Wisconsin
36878,KETTLE MORAINE SCHOOL DISTRICT,53189,352.0,Wisconsin
36879,MUKWONAGO SCHOOL DISTRICT,53189,493.0,Wisconsin
36882,MILTON SCHOOL DISTRICT,53190,156.0,Massachusetts
36901,WAUWATOSA SCHOOL DISTRICT,53208,465.0,Wisconsin
36907,WAUWATOSA SCHOOL DISTRICT,53210,465.0,Wisconsin
36910,WHITEFISH BAY SCHOOL DISTRICT,53211,210.0,Wisconsin
36915,WAUWATOSA SCHOOL DISTRICT,53213,465.0,Wisconsin
36925,MEQUON-THIENSVILLE SCHOOL DISTRICT,53217,175.0,Wisconsin
36927,WHITEFISH BAY SCHOOL DISTRICT,53217,210.0,Wisconsin
36935,FRANKLIN PUBLIC SCHOOL DISTRICT,53221,93.0,Massachusetts
36936,FRANKLIN PUBLIC SCHOOL DISTRICT,53221,400.0,Wisconsin
36941,WAUWATOSA SCHOOL DISTRICT,53222,465.0,Wisconsin
36947,WAUWATOSA SCHOOL DISTRICT,53225,465.0,Wisconsin
36949,WAUWATOSA SCHOOL DISTRICT,53226,465.0,Wisconsin
36973,ARGYLE SCHOOL DISTRICT,53504,370.0,Texas
36977,MONROE SCHOOL DISTRICT,53504,376.0,New Jersey
36981,MILTON SCHOOL DISTRICT,53505,156.0,Massachusetts
36997,BELMONT COMMUNITY SCHOOL DISTRICT,53510,15.0,Massachusetts
37007,ARGYLE SCHOOL DISTRICT,53516,370.0,Texas
37030,MONROE SCHOOL DISTRICT,53522,376.0,New Jersey
37040,MCFARLAND SCHOOL DISTRICT,53527,348.0,Wisconsin
37041,MONONA GROVE SCHOOL DISTRICT,53527,450.0,Wisconsin
37052,WAUNAKEE COMMUNITY SCHOOL DISTRICT,53529,180.0,Wisconsin
37053,ARGYLE SCHOOL DISTRICT,53530,370.0,Texas
37054,BELMONT COMMUNITY SCHOOL DISTRICT,53530,15.0,Massachusetts
37061,MONONA GROVE SCHOOL DISTRICT,53531,450.0,Wisconsin
37065,WAUNAKEE COMMUNITY SCHOOL DISTRICT,53532,180.0,Wisconsin
37075,MILTON SCHOOL DISTRICT,53534,156.0,Massachusetts
37089,MILTON SCHOOL DISTRICT,53538,156.0,Massachusetts
37108,MILTON SCHOOL DISTRICT,53545,156.0,Massachusetts
37112,MILTON SCHOOL DISTRICT,53546,156.0,Massachusetts
37116,MILTON SCHOOL DISTRICT,53548,156.0,Massachusetts
37125,MONROE SCHOOL DISTRICT,53550,376.0,New Jersey
37143,MCFARLAND SCHOOL DISTRICT,53558,348.0,Wisconsin
37144,MONONA GROVE SCHOOL DISTRICT,53558,450.0,Wisconsin
